更新时间,#genre#
CCTV2,http://wouu.net:9977/udp/239.93.1.23:6000$订阅源
CCTV2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8$订阅源
CCTV2,http://60.7.56.33:4000/udp/239.253.92.190:6065$订阅源
CCTV2,http://116.117.104.242:8096/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://60.255.240.247:8090/live/CCTV-2H265.m3u8$订阅源-1920x1080
CCTV2,http://221.213.69.82:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://222.129.139.91:8888/udp/239.3.1.60:8084$订阅源
CCTV2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://123.113.187.204:8000/udp/239.3.1.60:8084$订阅源
CCTV2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8$订阅源
CCTV2,http://111.196.129.152:20000/udp/239.3.1.60:8084$订阅源
CCTV2,http://219.128.121.202:59901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源
CCTV2,http://121.33.239.242:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV3,http://123.54.179.69:80/PLTV/88888888/224/3221227053/index.m3u8
CCTV3,http://222.85.69.6/PLTV/88888888/224/3221227053/index.m3u8
CCTV3,http://123.54.179.73:80/PLTV/88888888/224/3221227053/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000371/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV3,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8?$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000011218/1.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000003/index.m3u8?$订阅源-IPv6
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000359/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV3,http://[2409:8087:74d9:21::6]/270000001128/9900000003/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw1306766403_-33994166/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000371/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV3,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010212/$订阅源-IPv6
CCTV3,http://60.255.240.247:8090/live/CCTV-3H265_4000.m3u8$订阅源-1920x1080
CCTV3,http://202.100.46.58:9901/tsfile/live/1002_1.m3u8$订阅源
CCTV3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8$订阅源
CCTV3,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://110.52.244.53:9003//hls/3/index.m3u8$订阅源
CCTV3,http://121.33.239.242:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://59.48.75.130:3052/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://116.117.104.39:8096/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://60.210.100.54:352/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://222.129.139.91:8888/udp/239.3.1.172:8001$订阅源
CCTV3,http://223.166.234.149:7777/tsfile/live/0003_1.m3u8$订阅源
CCTV4,http://222.85.69.6/PLTV/88888888/224/3221227050/index.m3u8
CCTV4,http://123.54.179.73:80/PLTV/88888888/224/3221227050/index.m3u8
CCTV4,http://123.54.179.74:80/PLTV/88888888/224/3221227050/index.m3u8
CCTV4,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000350/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV4,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?IAS$订阅源-IPv6
CCTV4,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?$订阅源-IPv6
CCTV4,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000320/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV4,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000350/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV4,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228156/index.m3u8$订阅源-IPv6
CCTV4,http://[2409:8087:2001:20:2800:0:df6e:eb20]:80/PLTV/1/224/3221230948/1.m3u8$订阅源-IPv6
CCTV4,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002173/index.m3u8$订阅源-IPv6
CCTV4,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226539/index.m3u8$订阅源-IPv6
CCTV4,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000503/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000503$订阅源-IPv6
CCTV4,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8$订阅源-IPv6
CCTV4,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000503/index.m3u8?$订阅源-IPv6
CCTV4,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002173/index.m3u8$订阅源-IPv6
CCTV4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000503/index.m3u8$订阅源-IPv6
CCTV4,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000503$订阅源-IPv6
CCTV4,http://222.129.139.229:8888/udp/239.3.1.214:4220$订阅源
CCTV4,http://202.100.46.58:9901/tsfile/live/1003_1.m3u8$订阅源
CCTV4,http://123.113.187.204:8000/udp/239.3.1.214:4220$订阅源
CCTV4,http://222.129.139.91:8888/udp/239.3.1.105:8092$订阅源
CCTV4,http://121.33.239.242:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV4,http://60.210.100.54:352/tsfile/live/0004_1.m3u8$订阅源
CCTV4,http://111.196.129.152:20000/udp/239.3.1.213:4220$订阅源
CCTV4,http://60.255.240.247:8090/live/CCTV-4H265_4000.m3u8$订阅源-1920x1080
CCTV4,http://123.113.249.203:8888/udp/239.3.1.214:4220$订阅源
CCTV4,http://60.2.190.206:4000/udp/239.253.92.251:6141$订阅源
CCTV4,http://123.113.187.204:8000/udp/239.3.1.105:8092$订阅源
CCTV4,http://111.196.129.152:20000/udp/239.3.1.105:8092$订阅源
CCTV5,http://222.85.69.6/PLTV/88888888/224/3221227047/index.m3u8
CCTV5,http://123.54.179.73:80/PLTV/88888888/224/3221227047/index.m3u8
CCTV5,http://[2409:8087:1a0b:df::4019]/ottrrs.hl.chinamobile.com/PLTV/1/224/3221226469/index.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/1.m3u8?$订阅源-IPv6
CCTV5,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000461/index.m3u8?IAS$订阅源-IPv6
CCTV5,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000005/index.m3u8?$订阅源-IPv6
CCTV5,http://[2409:8087:1a0a:df::4031]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/index.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000004794/1.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源-IPv6
CCTV5,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000507/index.m3u8?$订阅源-IPv6
CCTV5,http://[2409:8087:2001:20:2800:0:df6e:eb21]:80/PLTV/1/224/3221230976/1.m3u8$订阅源-IPv6
CCTV5,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV5,http://wouu.net:9977/udp/239.93.1.36:8004$订阅源
CCTV5,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8$订阅源
CCTV5,http://116.117.104.242:8096/tsfile/live/0005_1.m3u8$订阅源
CCTV5,http://121.33.239.242:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV5,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV5,http://123.113.249.203:8888/udp/239.3.1.173:8001$订阅源
CCTV5,http://219.128.121.202:59901/tsfile/live/1004_1.m3u8?key=txiptv$订阅源
CCTV5,http://111.196.129.152:20000/udp/239.3.1.173:8001$订阅源
CCTV5,http://123.138.22.30:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV5,http://116.117.104.39:8096/tsfile/live/0005_1.m3u8$订阅源
CCTV5,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV6,http://222.85.69.6/PLTV/88888888/224/3221227046/index.m3u8
CCTV6,http://123.54.179.74:80/PLTV/88888888/224/3221227046/index.m3u8
CCTV6,http://123.54.179.134:80/PLTV/88888888/224/3221227046/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源-IPv6
CCTV6,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000006/index.m3u8?$订阅源-IPv6
CCTV6,http://[2409:8087:1a0a:df::4038]:80/wh7f454c46tw1592771597_580809367/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV6,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000361/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV6,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000001737/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=3$订阅源-IPv6
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV6,http://[2409:8087:74d9:21::6]:80/270000001128/9900000006/index.m3u8$订阅源-IPv6
CCTV6,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV6,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8$订阅源-IPv6
