📺央视频道,#genre#
黑龙江卫视,http://123.54.179.133:80/PLTV/88888888/224/3221227039/index.m3u8$!
山东卫视,http://222.85.69.6/PLTV/88888888/224/3221227004/index.m3u8$!
山东卫视,http://123.54.179.140:80/PLTV/88888888/224/3221227004/index.m3u8$!
山东卫视,http://123.54.179.139:80/PLTV/88888888/224/3221227004/index.m3u8$!
安徽卫视,http://222.85.69.6/PLTV/88888888/224/3221227017/index.m3u8$!
安徽卫视,http://123.54.179.138:80/PLTV/88888888/224/3221227017/index.m3u8$!
安徽卫视,http://123.54.179.133:80/PLTV/88888888/224/3221227017/index.m3u8$!
辽宁卫视,http://222.85.69.6/PLTV/88888888/224/3221227014/index.m3u8$!
辽宁卫视,http://123.54.179.138:80/PLTV/88888888/224/3221227014/index.m3u8$!
陕西卫视,http://222.85.69.6/PLTV/88888888/224/3221227011/index.m3u8$!
陕西卫视,http://123.54.179.138:80/PLTV/88888888/224/3221227011/index.m3u8$!
陕西卫视,http://123.54.179.137:80/PLTV/88888888/224/3221227011/index.m3u8$!
贵州卫视,http://222.85.69.6/PLTV/88888888/224/3221227001/index.m3u8$!
贵州卫视,http://123.54.179.136:80/PLTV/88888888/224/3221227001/index.m3u8$!
河北卫视,http://222.85.69.6/PLTV/88888888/224/3221227027/index.m3u8$!
河北卫视,http://123.54.179.133:80/PLTV/88888888/224/3221227027/index.m3u8$!
河北卫视,http://123.54.179.134:80/PLTV/88888888/224/3221227027/index.m3u8$!
江西卫视,http://222.85.69.6/PLTV/88888888/224/3221227024/index.m3u8$!
江西卫视,http://123.54.179.137:80/PLTV/88888888/224/3221227024/index.m3u8$!
江西卫视,http://123.54.179.133:80/PLTV/88888888/224/3221227024/index.m3u8$!
湖南卫视,http://222.85.69.6/PLTV/88888888/224/3221227021/index.m3u8$!
湖南卫视,http://123.54.179.139:80/PLTV/88888888/224/3221227021/index.m3u8$!
湖南卫视,http://123.54.179.133:80/PLTV/88888888/224/3221227021/index.m3u8$!
深圳卫视,http://222.85.69.6/PLTV/88888888/224/3221227029/index.m3u8$!
深圳卫视,http://123.54.179.138:80/PLTV/88888888/224/3221227029/index.m3u8$!
深圳卫视,http://123.54.179.133:80/PLTV/88888888/224/3221227029/index.m3u8$!
四川卫视,http://222.85.69.6/PLTV/88888888/224/3221227026/index.m3u8$!
四川卫视,http://123.54.179.134:80/PLTV/88888888/224/3221227026/index.m3u8$!
四川卫视,http://123.54.179.137:80/PLTV/88888888/224/3221227026/index.m3u8$!
湖北卫视,http://222.85.69.6/PLTV/88888888/224/3221227057/index.m3u8$!
湖北卫视,http://123.54.179.74:80/PLTV/88888888/224/3221227057/index.m3u8$!
湖北卫视,http://123.54.179.134:80/PLTV/88888888/224/3221227057/index.m3u8$!
天津卫视,http://222.85.69.6/PLTV/88888888/224/3221227054/index.m3u8$!
天津卫视,http://123.54.179.137:80/PLTV/88888888/224/3221227054/index.m3u8$!
天津卫视,http://123.54.179.138:80/PLTV/88888888/224/3221227054/index.m3u8$!
云南卫视,http://222.85.69.6/PLTV/88888888/224/3221227051/index.m3u8$!
云南卫视,http://123.54.179.139:80/PLTV/88888888/224/3221227051/index.m3u8$!
云南卫视,http://123.54.179.140:80/PLTV/88888888/224/3221227051/index.m3u8$!
重庆卫视,http://222.85.69.6/PLTV/88888888/224/3221227025/index.m3u8$!
重庆卫视,http://123.54.179.135:80/PLTV/88888888/224/3221227025/index.m3u8$!
吉林卫视,http://222.85.69.6/PLTV/88888888/224/3221227022/index.m3u8$!
吉林卫视,http://123.54.179.134:80/PLTV/88888888/224/3221227022/index.m3u8$!
宁夏卫视,http://222.85.69.6/PLTV/88888888/224/3221227019/index.m3u8$!
宁夏卫视,http://123.54.179.134:80/PLTV/88888888/224/3221227019/index.m3u8$!
东南卫视,http://222.85.69.6/PLTV/88888888/224/3221227023/index.m3u8$!
东南卫视,http://123.54.179.139:80/PLTV/88888888/224/3221227023/index.m3u8$!
东南卫视,http://123.54.179.140:80/PLTV/88888888/224/3221227023/index.m3u8$!
内蒙古卫视,http://222.85.69.6/PLTV/88888888/224/3221227048/index.m3u8$!
内蒙古卫视,http://123.54.179.73:80/PLTV/88888888/224/3221227048/index.m3u8$!
广西卫视,http://222.85.69.6/PLTV/88888888/224/3221227045/index.m3u8$!
广西卫视,http://123.54.179.73:80/PLTV/88888888/224/3221227045/index.m3u8$!
广西卫视,http://123.54.179.69:80/PLTV/88888888/224/3221227045/index.m3u8$!
山西卫视,http://222.85.69.6/PLTV/88888888/224/3221227042/index.m3u8$!
山西卫视,http://123.54.179.139:80/PLTV/88888888/224/3221227042/index.m3u8$!
山西卫视,http://123.54.179.133:80/PLTV/88888888/224/3221227042/index.m3u8$!
海南卫视,http://222.85.69.6/PLTV/88888888/224/3221227016/index.m3u8$!
海南卫视,http://123.54.179.139:80/PLTV/88888888/224/3221227016/index.m3u8$!
海南卫视,http://123.54.179.133:80/PLTV/88888888/224/3221227016/index.m3u8$!
甘肃卫视,http://222.85.69.6/PLTV/88888888/224/3221227013/index.m3u8$!
甘肃卫视,http://123.54.179.137:80/PLTV/88888888/224/3221227013/index.m3u8$!
甘肃卫视,http://123.54.179.136:80/PLTV/88888888/224/3221227013/index.m3u8$!
青海卫视,http://222.85.69.6/PLTV/88888888/224/3221227010/index.m3u8$!
青海卫视,http://123.54.179.135:80/PLTV/88888888/224/3221227010/index.m3u8$!
青海卫视,http://123.54.179.136:80/PLTV/88888888/224/3221227010/index.m3u8$!
新疆卫视,http://222.85.69.6/PLTV/88888888/224/3221227009/index.m3u8$!
新疆卫视,http://123.54.179.136:80/PLTV/88888888/224/3221227009/index.m3u8$!
新疆卫视,http://123.54.179.137:80/PLTV/88888888/224/3221227009/index.m3u8$!
云南卫视,http://222.85.69.6/PLTV/88888888/224/3221227051/index.m3u8$!
云南卫视,http://123.54.179.140:80/PLTV/88888888/224/3221227051/index.m3u8$!
云南卫视,http://123.54.179.139:80/PLTV/88888888/224/3221227051/index.m3u8$!
西藏卫视,http://222.85.69.6/PLTV/88888888/224/3221227006/index.m3u8$!
西藏卫视,http://123.54.179.140:80/PLTV/88888888/224/3221227006/index.m3u8$!
西藏卫视,http://123.54.179.137:80/PLTV/88888888/224/3221227006/index.m3u8$!
💰央视付费频道,#genre#
都市剧场,
欢笑剧场,
动漫秀场,
卡酷少儿,
金鹰卡通,
哈哈炫动,
优漫卡通,
嘉佳卡通,
黑莓动画,
黑莓电影,
CHC动作电影,
CHC家庭影院,
CHC影迷电影,
CHC高清电影,
爱喜剧,
爱动漫,
爱经典,
爱都市,
爱动漫,
爱玩具,
爱院线,
爱科幻,
爱谍战
爱奇谈,
爱怀旧,
爱青春,
爱科学,
爱历史,
爱悬疑,
爱赛车,
NewTV动作电影,
NewTV古装剧场
NewTV超级电影,
NewTV超级电视剧,
NewTV金牌综艺，
NewTV超级综艺,
NewTV潮婆辣妈
NewTV家庭剧场
